addr,result,reason
0x528E,PASS, | SKIPREASONS {} | PASS 10/10 (skipped=0)
0x5292,PASS, | SKIPREASONS {} | PASS 10/10 (skipped=0)
0x52B0,PASS, | SKIPREASONS {'step-limit-both': 6} | PASS 4/10 (skipped=6)
0x5348,HALT, | SKIPREASONS {'step-limit-both': 10} | HALT (correct) 0/10 (skipped=10)
0x535E,skipped-all, | SKIPREASONS {'emu-exc': 10} | FAIL 0/10 (skipped=10)
0x53A0,HALT, | SKIPREASONS {'step-limit-both': 10} | HALT (correct) 0/10 (skipped=10)
0x53A6,HALT, | SKIPREASONS {'step-limit-both': 10} | HALT (correct) 0/10 (skipped=10)
0x53AA,HALT, | SKIPREASONS {'step-limit-both': 10} | HALT (correct) 0/10 (skipped=10)
0x53AE,HALT, | SKIPREASONS {'step-limit-both': 10} | HALT (correct) 0/10 (skipped=10)
0x53B6,HALT, | SKIPREASONS {'step-limit-both': 10} | HALT (correct) 0/10 (skipped=10)
0x53C2,HALT, | SKIPREASONS {'step-limit-both': 10} | HALT (correct) 0/10 (skipped=10)
0x53C6,HALT, | SKIPREASONS {'step-limit-both': 10} | HALT (correct) 0/10 (skipped=10)
0x53D2,HALT, | SKIPREASONS {'step-limit-both': 10} | HALT (correct) 0/10 (skipped=10)
0x53DE,HALT, | SKIPREASONS {'step-limit-both': 10} | HALT (correct) 0/10 (skipped=10)
0x53EA,HALT, | SKIPREASONS {'step-limit-both': 10} | HALT (correct) 0/10 (skipped=10)
0x53F6,PASS, | SKIPREASONS {} | PASS 10/10 (skipped=0)
0x5402,HALT, | SKIPREASONS {'step-limit-both': 10} | HALT (correct) 0/10 (skipped=10)
0x540E,HALT, | SKIPREASONS {'step-limit-both': 10} | HALT (correct) 0/10 (skipped=10)
0x541A,HALT, | SKIPREASONS {'step-limit-both': 10} | HALT (correct) 0/10 (skipped=10)
0x5426,HALT, | SKIPREASONS {'step-limit-both': 10} | HALT (correct) 0/10 (skipped=10)
0x5434,HALT, | SKIPREASONS {'step-limit-both': 10} | HALT (correct) 0/10 (skipped=10)
0x5474,HALT, | SKIPREASONS {'step-limit-both': 10} | HALT (correct) 0/10 (skipped=10)
0x5482,HALT, | SKIPREASONS {'step-limit-both': 10} | HALT (correct) 0/10 (skipped=10)
0x5490,HALT, | SKIPREASONS {'step-limit-both': 10} | HALT (correct) 0/10 (skipped=10)
0x549A,HALT, | SKIPREASONS {'step-limit-both': 10} | HALT (correct) 0/10 (skipped=10)
0x54A6,HALT, | SKIPREASONS {'step-limit-both': 10} | HALT (correct) 0/10 (skipped=10)
0x54B2,HALT, | SKIPREASONS {'step-limit-both': 10} | HALT (correct) 0/10 (skipped=10)
0x54BE,HALT, | SKIPREASONS {'step-limit-both': 10} | HALT (correct) 0/10 (skipped=10)
0x54CA,HALT, | SKIPREASONS {'step-limit-both': 10} | HALT (correct) 0/10 (skipped=10)
0x54D6,HALT, | SKIPREASONS {'step-limit-both': 10} | HALT (correct) 0/10 (skipped=10)
0x54EA,HALT, | SKIPREASONS {'step-limit-both': 10} | HALT (correct) 0/10 (skipped=10)
0x54F6,HALT, | SKIPREASONS {'step-limit-both': 10} | HALT (correct) 0/10 (skipped=10)
0x5502,HALT, | SKIPREASONS {'step-limit-both': 10} | HALT (correct) 0/10 (skipped=10)
0x550E,HALT, | SKIPREASONS {'step-limit-both': 10} | HALT (correct) 0/10 (skipped=10)
0x551A,HALT, | SKIPREASONS {'step-limit-both': 10} | HALT (correct) 0/10 (skipped=10)
0x5526,HALT, | SKIPREASONS {'step-limit-both': 10} | HALT (correct) 0/10 (skipped=10)
0x5532,HALT, | SKIPREASONS {'step-limit-both': 10} | HALT (correct) 0/10 (skipped=10)
0x553E,PASS, | SKIPREASONS {'step-limit-both': 5} | PASS 5/10 (skipped=5)
0x5564,HALT, | SKIPREASONS {'step-limit-both': 10} | HALT (correct) 0/10 (skipped=10)
0x55A0,HALT, | SKIPREASONS {'step-limit-both': 10} | HALT (correct) 0/10 (skipped=10)
0x55B2,HALT, | SKIPREASONS {'step-limit-both': 10} | HALT (correct) 0/10 (skipped=10)
0x55C4,HALT, | SKIPREASONS {'step-limit-both': 10} | HALT (correct) 0/10 (skipped=10)
0x55E8,HALT, | SKIPREASONS {'step-limit-both': 10} | HALT (correct) 0/10 (skipped=10)
0x55FA,HALT, | SKIPREASONS {'step-limit-both': 10} | HALT (correct) 0/10 (skipped=10)
0x560C,HALT, | SKIPREASONS {'step-limit-both': 10} | HALT (correct) 0/10 (skipped=10)
0x561E,HALT, | SKIPREASONS {'step-limit-both': 10} | HALT (correct) 0/10 (skipped=10)
0x5630,HALT, | SKIPREASONS {'step-limit-both': 10} | HALT (correct) 0/10 (skipped=10)
0x563C,HALT, | SKIPREASONS {'step-limit-both': 10} | HALT (correct) 0/10 (skipped=10)
0x5648,HALT, | SKIPREASONS {'step-limit-both': 10} | HALT (correct) 0/10 (skipped=10)
0x5654,HALT, | SKIPREASONS {'step-limit-both': 10} | HALT (correct) 0/10 (skipped=10)
0x5660,HALT, | SKIPREASONS {'step-limit-both': 10} | HALT (correct) 0/10 (skipped=10)
0x566C,HALT, | SKIPREASONS {'step-limit-both': 10} | HALT (correct) 0/10 (skipped=10)
0x567A,PASS, | SKIPREASONS {} | PASS 10/10 (skipped=0)
0x578E,HALT, | SKIPREASONS {'step-limit-both': 10} | HALT (correct) 0/10 (skipped=10)
0x579C,HALT, | SKIPREASONS {'step-limit-both': 10} | HALT (correct) 0/10 (skipped=10)
0x57AA,HALT, | SKIPREASONS {'step-limit-both': 10} | HALT (correct) 0/10 (skipped=10)
0x57B8,HALT, | SKIPREASONS {'step-limit-both': 10} | HALT (correct) 0/10 (skipped=10)
0x57C6,PASS, | SKIPREASONS {} | PASS 10/10 (skipped=0)
0x58E0,HALT, | SKIPREASONS {'step-limit-both': 10} | HALT (correct) 0/10 (skipped=10)
0x58EE,HALT, | SKIPREASONS {'step-limit-both': 10} | HALT (correct) 0/10 (skipped=10)
0x58FC,HALT, | SKIPREASONS {'step-limit-both': 10} | HALT (correct) 0/10 (skipped=10)
0x590A,HALT, | SKIPREASONS {'step-limit-both': 10} | HALT (correct) 0/10 (skipped=10)
0x5918,HALT, | SKIPREASONS {'step-limit-both': 10} | HALT (correct) 0/10 (skipped=10)
0x5926,HALT, | SKIPREASONS {'step-limit-both': 10} | HALT (correct) 0/10 (skipped=10)
0x5934,HALT, | SKIPREASONS {'step-limit-both': 10} | HALT (correct) 0/10 (skipped=10)
0x596C,HALT, | SKIPREASONS {'step-limit-both': 10} | HALT (correct) 0/10 (skipped=10)
0x597A,HALT, | SKIPREASONS {'step-limit-both': 10} | HALT (correct) 0/10 (skipped=10)
0x5988,HALT, | SKIPREASONS {'step-limit-both': 10} | HALT (correct) 0/10 (skipped=10)
0x5996,HALT, | SKIPREASONS {'step-limit-both': 10} | HALT (correct) 0/10 (skipped=10)
0x59A4,PASS, | SKIPREASONS {} | PASS 10/10 (skipped=0)
0x59B2,PASS, | SKIPREASONS {} | PASS 10/10 (skipped=0)
0x59C0,PASS, | SKIPREASONS {} | PASS 10/10 (skipped=0)
0x59CE,PASS, | SKIPREASONS {} | PASS 10/10 (skipped=0)
0x5A1E,HALT, | SKIPREASONS {'step-limit-both': 10} | HALT (correct) 0/10 (skipped=10)
0x5A22,HALT, | SKIPREASONS {'step-limit-both': 10} | HALT (correct) 0/10 (skipped=10)
0x5A30,HALT, | SKIPREASONS {'step-limit-both': 10} | HALT (correct) 0/10 (skipped=10)
0x5A3E,HALT, | SKIPREASONS {'step-limit-both': 10} | HALT (correct) 0/10 (skipped=10)
0x5A4C,HALT, | SKIPREASONS {'step-limit-both': 10} | HALT (correct) 0/10 (skipped=10)
0x5A58,HALT, | SKIPREASONS {'step-limit-both': 10} | HALT (correct) 0/10 (skipped=10)
0x5AC0,HALT, | SKIPREASONS {'step-limit-both': 10} | HALT (correct) 0/10 (skipped=10)
0x5ACE,HALT, | SKIPREASONS {'step-limit-both': 10} | HALT (correct) 0/10 (skipped=10)
0x5ADC,HALT, | SKIPREASONS {'step-limit-both': 10} | HALT (correct) 0/10 (skipped=10)
0x5AEA,HALT, | SKIPREASONS {'step-limit-both': 10} | HALT (correct) 0/10 (skipped=10)
0x5AF8,HALT, | SKIPREASONS {'step-limit-both': 10} | HALT (correct) 0/10 (skipped=10)
0x5B06,HALT, | SKIPREASONS {'step-limit-both': 10} | HALT (correct) 0/10 (skipped=10)
0x5B14,PASS, | SKIPREASONS {} | PASS 10/10 (skipped=0)
0x5B20,HALT, | SKIPREASONS {'step-limit-both': 10} | HALT (correct) 0/10 (skipped=10)
0x5B2E,HALT, | SKIPREASONS {'step-limit-both': 10} | HALT (correct) 0/10 (skipped=10)
0x5B3C,PASS, | SKIPREASONS {} | PASS 10/10 (skipped=0)
0x5B56,PASS, | SKIPREASONS {'step-limit-both': 4} | PASS 6/10 (skipped=4)
0x5BE8,LOOP, | SKIPREASONS {'step-limit-both': 10} | LOOP (unverifiable) 0/10 (skipped=10)
0x5CC4,HALT, | SKIPREASONS {'step-limit-both': 10} | HALT (correct) 0/10 (skipped=10)
