start,end,words,category,pcrel_refs,branch_refs,labels,function,sample_values
0x1A5A,0x1A5A,1,data:pool_single,1,0,1,,FF0F
0x1A5E,0x1A60,2,data:literal_pool,2,0,2,,00F0 FFFF
0x1A64,0x1A64,1,data:pool_single,1,0,1,,FFFF
0x1A68,0x1A68,1,data:pool_single,1,0,1,,FFFF
0x1A6C,0x1A6C,1,data:pool_single,1,0,1,,0000
0x1B5A,0x1B5C,2,data:padding,1,0,1,,FFFF FFFF
0x1B60,0x1B60,1,data:pool_single,1,0,1,,FFFF
0x1B64,0x1B64,1,data:pool_single,1,0,1,,FFFF
0x1B68,0x1B68,1,data:pool_single,1,0,1,,FFFF
0x1B6C,0x1B6C,1,data:pool_single,1,0,1,,FFFF
0x1B70,0x1B70,1,data:pool_single,1,0,1,,FFFF
0x1B74,0x1B74,1,data:pool_single,1,0,1,,FFFF
0x1B7C,0x1B7C,1,data:pool_single,1,0,1,,FFFF
0x1B80,0x1B80,1,data:pool_single,1,0,1,,FFFF
0x1B84,0x1B84,1,data:pool_single,1,0,1,,FFFF
0x1B88,0x1B88,1,data:pool_single,1,0,1,,FFFF
0x1C8C,0x1C8C,1,data:pool_single,1,0,1,,0400
0x1C90,0x1C90,1,data:pool_single,1,0,1,,FFFF
0x1C94,0x1C94,1,data:pool_single,1,0,1,,FFFF
0x1C98,0x1C98,1,data:pool_single,1,0,1,,FFFF
0x1C9C,0x1C9C,1,data:pool_single,1,0,1,,FFFF
0x1CA0,0x1CA0,1,data:pool_single,1,0,1,,FFFF
0x1CA4,0x1CA4,1,data:pool_single,1,0,1,,FFFF
0x1CA8,0x1CA8,1,data:pool_single,1,0,1,,0000
0x1CAC,0x1CAC,1,data:pool_single,1,0,1,,FFFF
0x1CB0,0x1CB0,1,data:pool_single,1,0,1,,FFFF
0x1CB4,0x1CB4,1,data:pool_single,1,0,1,,0000
0x1D9A,0x1D9C,2,data:literal_pool,2,0,2,,00B1 00B2
0x1DA0,0x1DA4,3,data:literal_pool,2,0,2,,00F1 FFFF FFFF
0x1DA8,0x1DA8,1,data:pool_single,1,0,1,,FFFF
0x1DAC,0x1DAC,1,data:pool_single,1,0,1,,FFFF
0x1DB0,0x1DB0,1,data:pool_single,1,0,1,,FFFF
0x1DB4,0x1DB4,1,data:pool_single,1,0,1,,FFFF
0x1DB8,0x1DB8,1,data:pool_single,1,0,1,,FFFF
0x1E18,0x1E18,1,data:pool_single,1,0,1,,FFFF
0x1F5E,0x1F5E,1,data:pool_single,1,0,1,,0FA0
0x1FB8,0x1FBE,4,data:literal_pool,2,0,2,,0200 FFFF 2A53 424C
0x1FC2,0x1FFE,31,data:unknown_data,0,0,0,,4E44 FFFF FFFF FFFF FFFF FFFF FFFF FFFF
0x2002,0x2004,2,data:string,0,0,0,,4531 4239
0x2028,0x202C,3,data:string,0,0,0,,4445 4E53 4F32
0x2032,0x2032,1,data:padding_single,0,0,0,,FFFF
0x2042,0x2042,1,data:padding_single,0,0,0,,FFFF
0x2052,0x2052,1,data:padding_single,0,0,0,,FFFF
0x2098,0x2098,1,data:pool_single,1,0,1,,0000
0x209C,0x209C,1,data:padding_single,0,0,0,,0000
0x20A0,0x20A0,1,data:padding_single,0,0,0,,0000
0x20A4,0x20A4,1,data:padding_single,0,0,0,,0000
0x20A8,0x20A8,1,data:padding_single,0,0,0,,0000
0x210C,0x210C,1,data:pool_single,1,0,1,,0000
0x2110,0x2110,1,data:padding_single,0,0,0,,0000
0x2114,0x2114,1,data:padding_single,0,0,0,,0000
0x2118,0x2118,1,data:padding_single,0,0,0,,0000
0x211C,0x211C,1,data:padding_single,0,0,0,,0000
0x22FE,0x2300,2,data:literal_pool,1,0,1,,FFFF 0000
0x231A,0x231A,1,data:padding_single,0,0,0,,FFFF
0x2392,0x2392,1,data:padding_single,0,0,0,,FFFF
0x2396,0x2396,1,data:padding_single,0,0,0,,0000
0x23DA,0x23DA,1,data:padding_single,0,0,0,,0000
0x241E,0x241E,1,data:padding_single,0,0,0,,FFFF
0x245E,0x245E,1,data:padding_single,0,0,0,,FFFF
0x2474,0x2476,2,data:literal_pool,1,0,1,,0000 FFFF
0x24BA,0x24BE,3,data:literal_pool,1,0,1,,0000 0000 FFFF
0x24CE,0x24CE,1,data:padding_single,0,0,0,,FFFF
0x24FA,0x24FA,1,data:padding_single,0,0,0,,FFFF
0x24FE,0x24FE,1,data:padding_single,0,0,0,,0000
0x250E,0x250E,1,data:padding_single,0,0,0,,FFFF
0x2536,0x2536,1,data:padding_single,0,0,0,,FFFF
0x253A,0x253A,1,data:padding_single,0,0,0,,0000
0x256A,0x256A,1,data:padding_single,0,0,0,,FFFF
0x25C6,0x25C6,1,data:padding_single,0,0,0,,FFFF
0x2622,0x2622,1,data:padding_single,0,0,0,,FFFF
0x268E,0x268E,1,data:padding_single,0,0,0,,FFFF
0x26F2,0x26F2,1,data:padding_single,0,0,0,,FFFF
0x2720,0x2720,1,data:pool_single,1,0,1,,0000
0x2724,0x2724,1,data:pool_single,1,0,1,,0000
0x2738,0x2738,1,data:pool_single,1,0,1,,0000
0x273C,0x273C,1,data:pool_single,1,0,1,,0000
0x2750,0x2750,1,data:pool_single,1,0,1,,0000
0x2754,0x2754,1,data:pool_single,1,0,1,,0000
0x2768,0x2768,1,data:pool_single,1,0,1,,0000
0x276C,0x276C,1,data:pool_single,1,0,1,,0000
