kind,start,end,class,src,motivo
data,390038,390040,literal_pool,"vector/pool data cluster (unref, referenced-by-declaration)"
data,390050,390052,literal_pool,"vector/pool data cluster (unref, referenced-by-declaration)"
data,390062,390064,literal_pool,"vector/pool data cluster (unref, referenced-by-declaration)"
data,390074,390076,literal_pool,"vector/pool data cluster (unref, referenced-by-declaration)"
data,390086,390088,literal_pool,"vector/pool data cluster (unref, referenced-by-declaration)"
data,390098,390100,literal_pool,"vector/pool data cluster (unref, referenced-by-declaration)"
data,390122,390124,literal_pool,"vector/pool data cluster (unref, referenced-by-declaration)"
data,390134,390136,literal_pool,"vector/pool data cluster (unref, referenced-by-declaration)"
data,390146,390148,literal_pool,"vector/pool data cluster (unref, referenced-by-declaration)"
data,390170,390172,literal_pool,"vector/pool data cluster (unref, referenced-by-declaration)"
data,390182,390184,literal_pool,"vector/pool data cluster (unref, referenced-by-declaration)"
data,390222,390224,literal_pool,"vector/pool data cluster (unref, referenced-by-declaration)"
data,390230,390232,literal_pool,"vector/pool data cluster (unref, referenced-by-declaration)"
data,390242,390248,literal_pool,"vector/pool data cluster (unref, referenced-by-declaration)"
data,390254,390256,literal_pool,"vector/pool data cluster (unref, referenced-by-declaration)"
data,390266,390272,literal_pool,"vector/pool data cluster (unref, referenced-by-declaration)"
data,390278,390280,literal_pool,"vector/pool data cluster (unref, referenced-by-declaration)"
data,390290,390292,literal_pool,"vector/pool data cluster (unref, referenced-by-declaration)"
data,390302,390304,literal_pool,"vector/pool data cluster (unref, referenced-by-declaration)"
data,390314,390316,literal_pool,"vector/pool data cluster (unref, referenced-by-declaration)"
data,390326,390328,literal_pool,"vector/pool data cluster (unref, referenced-by-declaration)"
data,390338,390340,literal_pool,"vector/pool data cluster (unref, referenced-by-declaration)"
data,390350,390352,literal_pool,"vector/pool data cluster (unref, referenced-by-declaration)"
data,390362,390364,literal_pool,"vector/pool data cluster (unref, referenced-by-declaration)"
data,390374,390376,literal_pool,"vector/pool data cluster (unref, referenced-by-declaration)"
data,390386,390388,literal_pool,"vector/pool data cluster (unref, referenced-by-declaration)"
data,390410,390412,literal_pool,"vector/pool data cluster (unref, referenced-by-declaration)"
data,390434,390436,literal_pool,"vector/pool data cluster (unref, referenced-by-declaration)"
