kind,start,end,class,src,motivo
data,58630,58634,literal_pool,,pcrel refs 1/2 words (mov.lx1)
data,59242,59248,literal_pool,,pcrel refs 1/3 words (movax1)
data,59252,59262,literal_pool,,pcrel refs 3/5 words (movax2+mov.lx1)
data,59702,59710,literal_pool,,pcrel refs 2/4 words (mov.lx2)
data,59714,59718,padding,,all-zero word filler
data,60610,60614,literal_pool,,pcrel refs 1/2 words (mov.lx1)
data,60878,60882,padding,,all-0xFFFF filler (stray pcrel ref x1)
data,61154,61158,padding,,all-0xFFFF filler (stray pcrel ref x1)
data,61474,61478,padding,,all-0xFFFF filler (stray pcrel ref x1)
data,61670,61674,padding,,all-0xFFFF filler (stray pcrel ref x1)
data,62738,62742,padding,,all-0xFFFF filler (stray pcrel ref x1)
data,62748,62752,literal_pool,,pcrel refs 1/2 words (mov.lx1)
data,62754,62758,padding,,all-zero word filler
data,62760,62766,literal_pool,,pcrel refs 2/3 words (mov.lx2)
data,62950,62954,padding,,all-0xFFFF filler (stray pcrel ref x1)
data,62960,62966,literal_pool,,pcrel refs 2/3 words (mov.lx2)
data,63310,63314,padding,,all-0xFFFF filler (stray pcrel ref x1)
data,63328,63332,literal_pool,,pcrel refs 1/2 words (mov.lx1)
data,63340,63344,literal_pool,,pcrel refs 1/2 words (mov.lx1)
data,63610,63614,literal_pool,,pcrel refs 2/2 words (mov.wx1+mov.lx1)
data,63618,63622,literal_pool,,pcrel refs 1/2 words (mov.lx1)
data,63628,63634,literal_pool,,pcrel refs 2/3 words (mov.lx2)
data,63640,63646,literal_pool,,pcrel refs 2/3 words (mov.lx2)
data,63650,63654,padding,,all-zero word filler
data,63896,63906,literal_pool,,pcrel refs 3/5 words (mov.lx2+mov.wx1)
data,64204,64210,literal_pool,,pcrel refs 2/3 words (mov.wx1+mov.lx1)
data,64216,64222,literal_pool,,pcrel refs 2/3 words (mov.lx2)
data,64230,64234,literal_pool,,pcrel refs 1/2 words (mov.lx1)
data,64240,64244,literal_pool,,pcrel refs 1/2 words (mov.lx1)
data,64488,64494,literal_pool,,pcrel refs 2/3 words (mov.lx2)
data,64500,64504,literal_pool,,pcrel refs 1/2 words (mov.lx1)
data,64800,64806,literal_pool,,pcrel refs 2/3 words (mov.wx1+mov.lx1)
