kind,start,end,class,src,motivo
data,384486,384488,literal_pool,"vector/pool data cluster (unref, referenced-by-declaration)"
data,384498,384500,literal_pool,"vector/pool data cluster (unref, referenced-by-declaration)"
data,384522,384524,literal_pool,"vector/pool data cluster (unref, referenced-by-declaration)"
data,384558,384560,literal_pool,"vector/pool data cluster (unref, referenced-by-declaration)"
data,384570,384572,literal_pool,"vector/pool data cluster (unref, referenced-by-declaration)"
data,384582,384584,literal_pool,"vector/pool data cluster (unref, referenced-by-declaration)"
data,384594,384596,literal_pool,"vector/pool data cluster (unref, referenced-by-declaration)"
data,384606,384608,literal_pool,"vector/pool data cluster (unref, referenced-by-declaration)"
data,384708,384710,literal_pool,"vector/pool data cluster (unref, referenced-by-declaration)"
data,384722,384754,literal_pool,"vector/pool data cluster (unref, referenced-by-declaration)"
data,384770,384772,literal_pool,"vector/pool data cluster (unref, referenced-by-declaration)"
data,384782,384790,literal_pool,"vector/pool data cluster (unref, referenced-by-declaration)"
data,384806,384808,literal_pool,"vector/pool data cluster (unref, referenced-by-declaration)"
data,384830,384832,literal_pool,"vector/pool data cluster (unref, referenced-by-declaration)"
data,384854,384856,literal_pool,"vector/pool data cluster (unref, referenced-by-declaration)"
data,384898,384906,literal_pool,"vector/pool data cluster (unref, referenced-by-declaration)"
data,385014,385016,literal_pool,"vector/pool data cluster (unref, referenced-by-declaration)"
data,385038,385040,literal_pool,"vector/pool data cluster (unref, referenced-by-declaration)"
data,385050,385052,literal_pool,"vector/pool data cluster (unref, referenced-by-declaration)"
data,385228,385230,literal_pool,"vector/pool data cluster (unref, referenced-by-declaration)"
data,393146,393148,literal_pool,"vector/pool data cluster (unref, referenced-by-declaration)"
data,526704,526706,literal_pool,"vector/pool data cluster (unref, referenced-by-declaration)"
trap,0x6A152,0x6A152,,0x0,FFFF filler slot (dispatch/unused handler vector, not missing code)
trap,0x6A25E,0x6A25E,,0x0,FFFF filler slot (dispatch/unused handler vector, not missing code)
trap,0x6A306,0x6A306,,0x0,FFFF filler slot (dispatch/unused handler vector, not missing code)
trap,0x6A366,0x6A366,,0x0,FFFF filler slot (dispatch/unused handler vector, not missing code)
trap,0x6A44A,0x6A44A,,0x0,FFFF filler slot (dispatch/unused handler vector, not missing code)
trap,0x6A612,0x6A612,,0x0,FFFF filler slot (dispatch/unused handler vector, not missing code)
trap,0x6A266,0x6A266,,0x0,FFFF filler slot (dispatch/unused handler vector, not missing code)
trap,0x6A61E,0x6A61E,,0x0,FFFF filler slot (dispatch/unused handler vector, not missing code)
trap,0x6A92E,0x6A92E,,0x0,FFFF filler slot (dispatch/unused handler vector, not missing code)
trap,0x6A9F2,0x6A9F2,,0x0,FFFF filler slot (dispatch/unused handler vector, not missing code)
trap,0x6AA46,0x6AA46,,0x0,FFFF filler slot (dispatch/unused handler vector, not missing code)
trap,0x6ACA2,0x6ACA2,,0x0,FFFF filler slot (dispatch/unused handler vector, not missing code)
trap,0x6ACEE,0x6ACEE,,0x0,FFFF filler slot (dispatch/unused handler vector, not missing code)
trap,0x6AD3A,0x6AD3A,,0x0,FFFF filler slot (dispatch/unused handler vector, not missing code)
