kind,start,end,class,src,motivo
data,387622,387624,literal_pool,"vector/pool data cluster (unref, referenced-by-declaration)"
data,387666,387674,literal_pool,"vector/pool data cluster (unref, referenced-by-declaration)"
data,387782,387784,literal_pool,"vector/pool data cluster (unref, referenced-by-declaration)"
data,387806,387808,literal_pool,"vector/pool data cluster (unref, referenced-by-declaration)"
data,387818,387820,literal_pool,"vector/pool data cluster (unref, referenced-by-declaration)"
data,387996,387998,literal_pool,"vector/pool data cluster (unref, referenced-by-declaration)"
data,526704,526706,literal_pool,"vector/pool data cluster (unref, referenced-by-declaration)"
trap,0x6AC62,0x6AC62,,0x0,FFFF filler slot (dispatch/unused handler vector, not missing code)
trap,0x6AEA6,0x6AEA6,,0x0,FFFF filler slot (dispatch/unused handler vector, not missing code)
trap,0x6AF22,0x6AF22,,0x0,FFFF filler slot (dispatch/unused handler vector, not missing code)
trap,0x6AF7E,0x6AF7E,,0x0,FFFF filler slot (dispatch/unused handler vector, not missing code)
trap,0x6B0CA,0x6B0CA,,0x0,FFFF filler slot (dispatch/unused handler vector, not missing code)
trap,0x69B0E,0x69B0E,,0x0,branch into declared data table (descriptor/vector pool); source is derived-data region, not missing code
