addr_start,addr_end,word_count,class,notes
32154,32158,2,literal_pool,pcrel refs 2/2 words (mov.wx1+mov.lx1)
32410,32414,2,padding,all-0xFFFF filler (stray pcrel ref x1)
32676,32682,3,literal_pool,pcrel refs 2/3 words (mov.lx2)
32946,32950,2,padding,all-0xFFFF filler (stray pcrel ref x1)
32990,32994,2,literal_pool,pcrel refs 1/2 words (mov.lx1)
32998,33006,4,literal_pool,pcrel refs 2/4 words (movax1+mov.lx1)
33022,33026,2,literal_pool,pcrel refs 1/2 words (mov.lx1)
33206,33210,2,literal_pool,pcrel refs 1/2 words (mov.lx1)
33582,33586,2,literal_pool,pcrel refs 2/2 words (mov.wx1+mov.lx1)
33600,33606,3,literal_pool,pcrel refs 2/3 words (mov.lx2)
33914,33918,2,literal_pool,pcrel refs 1/2 words (mov.lx1)
33926,33930,2,literal_pool,pcrel refs 1/2 words (mov.lx1)
33934,33940,3,literal_pool,pcrel refs 1/3 words (mov.lx1)
33950,33954,2,padding,all-zero word filler
34250,34254,2,literal_pool,pcrel refs 1/2 words (mov.lx1)
34578,34582,2,literal_pool,pcrel refs 1/2 words (mov.lx1)
34592,34598,3,literal_pool,pcrel refs 2/3 words (mov.lx2)
35214,35218,2,literal_pool,pcrel refs 1/2 words (mov.lx1)
35238,35242,2,padding,all-zero word filler
35244,35250,3,literal_pool,pcrel refs 2/3 words (mov.lx2)
35474,35478,2,literal_pool,pcrel refs 1/2 words (mov.lx1)
35686,35690,2,padding,all-0xFFFF filler (stray pcrel ref x1)
36026,36030,2,literal_pool,pcrel refs 1/2 words (mov.lx1)
36500,36506,3,literal_pool,pcrel refs 2/3 words (mov.wx1+mov.lx1)
36530,36538,4,literal_pool,pcrel refs 2/4 words (movax1+mov.lx1)
36786,36790,2,literal_pool,pcrel refs 1/2 words (mov.lx1)
37118,37122,2,literal_pool,pcrel refs 1/2 words (mov.lx1)
37128,37134,3,literal_pool,pcrel refs 2/3 words (mov.lx2)
37136,37150,7,literal_pool,pcrel refs 4/7 words (mov.lx4)
37152,37158,3,literal_pool,pcrel refs 2/3 words (mov.lx2)
37184,37190,3,literal_pool,pcrel refs 2/3 words (movax1+mov.lx1)
37440,37446,3,literal_pool,pcrel refs 2/3 words (mov.wx1+mov.lx1)
37454,37462,4,literal_pool,pcrel refs 3/4 words (movax2+mov.wx1)
37466,37474,4,literal_pool,pcrel refs 2/4 words (movax1+mov.lx1)
37650,37654,2,literal_pool,pcrel refs 1/2 words (mov.lx1)
37656,37662,3,literal_pool,pcrel refs 2/3 words (movax1+mov.lx1)
37956,37962,3,literal_pool,pcrel refs 2/3 words (mov.wx1+mov.lx1)
37970,37974,2,literal_pool,pcrel refs 1/2 words (mov.lx1)
37998,38006,4,literal_pool,pcrel refs 2/4 words (mov.lx2)
38176,38182,3,literal_pool,pcrel refs 2/3 words (mov.lx2)
38474,38478,2,literal_pool,pcrel refs 1/2 words (mov.lx1)
38782,38786,2,literal_pool,pcrel refs 2/2 words (mov.wx1+mov.lx1)
38788,38794,3,literal_pool,pcrel refs 2/3 words (mov.lx2)
