address,proposed_name,confidence,source,notes
0xffffa9f0,ram_a9f0,low,renames,roles: clt_sensor_fault_flags_update
0xffffa9f3,clt_fault_flags,high,known,CLT fault flags/counters 0xFFFFA9E0-A9F3
0xffffa9f4,sensor,high,function_names+renames,"fns: sensor_a9f4_dtc_11_12_monitor (x1); sensor_a9f4_dtc_11_12_monitor_b (x1); uds_mode22_get_a9f4_16bit (x1); roles: uds_mode22_get_a9f4_16bit; sensor_a9f4_dtc_11_12_monitor; sensor_a9f4_dtc_11_12_monitor_b; cats: Faults & DTC(x2), OBD / UDS(x1)"
0xffffa9fc,cond_float_copy,medium,function_names+renames,"fns: float_2dlookup_a9fc_to_c518_c51a (x1); cond_float_copy_a9fc_to_ccfc (x1); read_float_a9fc (x1); roles: cond_float_copy_a9fc_to_ccfc; float_2dlookup_a9fc_to_c518_c51a; read_float_a9fc; cats: Math / FPU(x2), Memory & CRC(x1); CAUTION: low16 also collides with a ROM function address"
0xffffaa08,checksummed_store,medium,function_names+renames,"fns: checksummed_store_aa08_8728 (x1); checksummed_store_aa08_8730 (x1); fault_monitor_aa08_ae44 (x1); roles: checksummed_store_aa08_8728; checksummed_store_aa08_8730; fault_monitor_aa08_ae44; cats: Memory & CRC(x2), Faults & DTC(x1); CAUTION: low16 also collides with a ROM function address; CONFLICT-RESOLVED: kept checksummed_store; alt: fault_monitor"
0xffffaa0c,ram_aa0c,low,renames,roles: o2_front_voltage_rate_filter
0xffffaa10,compares,medium,renames,roles: sensor_delta_monitor_flags; obd_mode_state_selector; o2_front_voltage_rate_filter; ctx: compares(x1)
0xffffaa14,ram_aa14,low,renames,roles: o2_rear_voltage_rate_filter
0xffffaa18,ram_aa18,low,renames,roles: o2_rear_voltage_rate_filter
0xffffaa24,ram_aa24,low,renames,roles: cruise_cond_flag_bd81_eval
0xffffaa2c,obd_pid_emit_byte,high,function_names+renames,fns: obd_pid_emit_byte_aa2c (x1); roles: obd_pid_emit_byte_aa2c; cats: OBD / UDS(x1)
0xffffaa38,uds_mode22_data,high,function_names+renames,fns: obd_word_aa38_scale_to_pct_a (x1); uds_mode22_data_getter_aa38 (x1); roles: uds_mode22_data_getter_aa38; fp_cal_table_b48c_init; obd_word_aa38_scale_to_pct_a; cats: OBD / UDS(x2)
0xffffaa3a,uds_mode22_data,high,function_names+renames,fns: obd_word_aa3a_scale_to_pct_b (x1); uds_mode22_data_getter_aa3a (x1); roles: uds_mode22_data_getter_aa3a; obd_word_aa3a_scale_to_pct_b; cats: OBD / UDS(x2)
0xffffaa44,ram_aa44,low,renames,roles: o2_front_raw_clamp_store
0xffffaa46,ram_aa46,low,renames,roles: o2_aux_raw_clamp_store
0xffffaa48,ram_aa48,low,renames,roles: throttle_pedal_signal_calc
0xffffaa4c,ram_aa4c,low,function_names+renames,fns: sensor_scaled_read_AA4C (x1); roles: sensor_scaled_read_AA4C; cats: Sensors(x1); AMBIGUOUS: single weak ref; low16 collides with ROM fn addr & no 0xffff literal in reasons
0xffffaa66,ram_aa66,low,renames,roles: throttle_pedal_signal_calc
0xffffaa70,ram_aa70,low,function_names+renames,fns: float_copy_aa70_to_aa74_aa7c_aca0 (x1); roles: float_copy_aa70_to_aa74_aa7c_aca0; cats: Ignition & Knock(x1); AMBIGUOUS: single weak ref; low16 collides with ROM fn addr & no 0xffff literal in reasons
