addr,end,name,source,flag
0x004B7C,0x004B84,FUN_00004b7c,ghidra-auto,
0x004B84,0x004B9C,FUN_00004b84,ghidra-auto,
0x004B9C,0x004BB4,FUN_00004b9c,ghidra-auto,
0x004BB4,0x004BBC,FUN_00004bb4,ghidra-auto,
0x004BBC,0x004BCC,setRegister_REG_BIT_VAL,ghidra-hand,
0x004BCC,0x004BD4,FUN_00004bcc,ghidra-auto,
0x004BD4,0x004BE4,FUN_00004bd4,ghidra-auto,
0x004BE4,0x004C14,FUN_00004be4,ghidra-auto,
0x004C14,0x004C70,nop_delay_40cycles,ida-ai-xmap,DUBIOUS
0x004C70,0x004C76,FUN_00004c70,ghidra-auto,
0x004C76,0x004C7A,FUN_00004c76,ghidra-auto,
0x004C7A,0x004C80,stack_frame_set_sp,ghidra-hand,
0x004C80,0x004CB6,FUN_00004c80,ghidra-auto,
0x004CB6,0x004CF0,FUN_00004cb6,ghidra-auto,
0x004CF0,0x004D2E,sfr_init_dma_channels,ida-ai-xmap,DUBIOUS
0x004D2E,0x004DEA,setRegisters,ghidra-hand,
0x004DEA,0x004DEE,FUN_00004dea,ghidra-auto,
0x004DEE,0x004E06,ubc_breakpoint_config_init,ida-ai-xmap,DUBIOUS
0x004E06,0x004E0A,thunk_FUN_00004dee,ghidra-auto,
0x004E0A,0x004E0E,noOpFunc,ghidra-hand,
0x004E0E,0x004E12,FUN_00004e0e,ghidra-auto,
0x004E12,0x004E6C,noOpFunc2,ghidra-hand,
0x004E6C,0x004F00,atu_channel_port_init,ida-ai-xmap,DUBIOUS
0x004F00,0x004FD6,atu_capture_compare_init,ida-ai-xmap,DUBIOUS
0x004FD6,0x005020,FUN_00004fd6,ghidra-auto,
0x005020,0x005024,noOpFun3,ghidra-hand,
0x005024,0x005032,writeWatchdog_disable?,ghidra-hand,
0x005032,0x005036,writeWatchdog_disable?,ghidra-hand,
0x005036,0x00503A,FUN_00005036,ghidra-auto,
0x00503A,0x00503E,noOpFunc4,ghidra-hand,
0x00503E,0x005056,sci_all_channels_clock_async,ida-ai-xmap,DUBIOUS
0x005056,0x00505A,noOpFunc5,ghidra-hand,
0x00505A,0x00505E,FUN_0000505a,ghidra-auto,
0x00505E,0x005062,noOpFunc6,ghidra-hand,
0x005062,0x0050A6,atu_channel_i_config_A,ida-ai-xmap,DUBIOUS
0x0050A6,0x0050AA,noOpFunc7,ghidra-hand,
0x0050AA,0x0051C8,atu_channel_i_config_B,ida-ai-xmap,DUBIOUS
0x0051C8,0x00522A,atu_prescaler_mode_init,ida-ai-xmap,DUBIOUS
0x00522A,0x00527E,atu_channel_i_config_C,ida-ai-xmap,DUBIOUS
0x00527E,0x00528E,callsFlash??,ghidra-hand,
0x00528E,0x005292,intc_clear_flag_trampoline,ghidra-hand,
0x005292,0x0052B0,FUN_00005292,ghidra-auto,
0x0052B0,0x005348,atu_status_check_and_branch,ida-ai-xmap,DUBIOUS
0x005348,0x0053C6,FUN_00005348,ghidra-auto,
0x0053C6,0x0053D2,FUN_000053c6,ghidra-auto,
0x0053D2,0x0053DE,FUN_000053d2,ghidra-auto,
0x0053DE,0x0053EA,FUN_000053de,ghidra-auto,
0x0053EA,0x0053F6,FUN_000053ea,ghidra-auto,
0x0053F6,0x005402,FUN_000053f6,ghidra-auto,
0x005402,0x00540E,FUN_00005402,ghidra-auto,
0x00540E,0x00541A,FUN_0000540e,ghidra-auto,
0x00541A,0x005426,FUN_0000541a,ghidra-auto,
0x005426,0x005434,FUN_00005426,ghidra-auto,
0x005434,0x005474,FUN_00005434,ghidra-auto,
0x005474,0x005482,FUN_00005474,ghidra-auto,
0x005482,0x005490,FUN_00005482,ghidra-auto,
0x005490,0x00549A,FUN_00005490,ghidra-auto,
0x00549A,0x0054A6,FUN_0000549a,ghidra-auto,
0x0054A6,0x0054B2,FUN_000054a6,ghidra-auto,
0x0054B2,0x0054BE,FUN_000054b2,ghidra-auto,
0x0054BE,0x0054CA,FUN_000054be,ghidra-auto,
0x0054CA,0x0054D6,FUN_000054ca,ghidra-auto,
0x0054D6,0x0054EA,FUN_000054d6,ghidra-auto,
0x0054EA,0x0054F6,FUN_000054ea,ghidra-auto,
0x0054F6,0x005502,FUN_000054f6,ghidra-auto,
0x005502,0x00550E,FUN_00005502,ghidra-auto,
0x00550E,0x00551A,FUN_0000550e,ghidra-auto,
0x00551A,0x005526,FUN_0000551a,ghidra-auto,
0x005526,0x005532,FUN_00005526,ghidra-auto,
0x005532,0x00553E,FUN_00005532,ghidra-auto,
0x00553E,0x005564,FUN_0000553e,ghidra-auto,
0x005564,0x0055A0,FUN_00005564,ghidra-auto,
0x0055A0,0x0055B2,FUN_000055a0,ghidra-auto,
0x0055B2,0x0055C4,FUN_000055b2,ghidra-auto,
0x0055C4,0x0055E8,FUN_000055c4,ghidra-auto,
0x0055E8,0x0055FA,FUN_000055e8,ghidra-auto,
0x0055FA,0x00560C,FUN_000055fa,ghidra-auto,
0x00560C,0x00561E,FUN_0000560c,ghidra-auto,
0x00561E,0x005630,FUN_0000561e,ghidra-auto,
0x005630,0x00563C,FUN_00005630,ghidra-auto,
0x00563C,0x005648,FUN_0000563c,ghidra-auto,
0x005648,0x005654,FUN_00005648,ghidra-auto,
