bank,addr,end,src_name,source,flag,lift_name,verified,also_sources,category
60E0E500,0x004ac0,0x004AEC,FUN_004ac0,derived,,,,,Math / FPU
60E0E500,0x004aec,0x004AF4,FUN_004aec,derived,,,,,Memory & CRC
60E0E500,0x004af4,0x004AF8,FUN_004af4,derived,NOISE,,,,Memory & CRC
60E0E500,0x004af8,0x004B00,FUN_004af8,derived,,,,,Memory & CRC
60E0E500,0x004b00,0x004B04,FUN_004b00,derived,NOISE,,,,Math / FPU
60E0E500,0x004b04,0x004B08,FUN_004b04,derived,NOISE,,,,Math / FPU
60E0E500,0x004b08,0x004B0C,FUN_004b08,derived,NOISE,,,,Math / FPU
60E0E500,0x004b0c,0x004B10,FUN_004b0c,derived,NOISE,,,,Math / FPU
60E0E500,0x004b10,0x004B14,FUN_004b10,derived,NOISE,,,,Memory & CRC
60E0E500,0x004b14,0x004B18,FUN_004b14,derived,NOISE,,,,Memory & CRC
60E0E500,0x004b18,0x004B24,FUN_004b18,derived,,,,,Memory & CRC
60E0E500,0x004b24,0x004B34,FUN_004b24,derived,,,,,Memory & CRC
60E0E500,0x004b34,0x004B44,FUN_004b34,derived,,,,,Memory & CRC
60E0E500,0x004b44,0x004BBC,FUN_004b44,derived,,,,,Memory & CRC
60E0E500,0x004bbc,0x004C14,setRegister_REG_BIT_VAL,ghidra-hand-xmap,,diag_setregister_4bbc,YES,,Faults & DTC
60E0E500,0x004c14,0x004C70,FUN_004c14,derived,,caller,YES,,Utilities
60E0E500,0x004c70,0x004C76,FUN_004c70,derived,,,,,Memory & CRC
60E0E500,0x004c76,0x004C7A,FUN_004c76,derived,NOISE,,,,Memory & CRC
60E0E500,0x004c7a,0x004C80,FUN_004c7a,derived,,,,,Memory & CRC
60E0E500,0x004c80,0x004CB6,FUN_004c80,derived,,,,,Peripherals & ISR
60E0E500,0x004cb6,0x004CF0,FUN_004cb6,derived,,,,,Boot & Init
60E0E500,0x004cf0,0x004D2E,FUN_004cf0,derived,,,,connor-xmap,Boot & Init
60E0E500,0x004d2e,0x004DEA,setRegisters,ghidra-hand-xmap,,setRegisters,,,Boot & Init
