caller_addr,caller_name,callee_addr,callee_name,kind
0x52B8C,FUN_00052b8c,0x546FA,FUN_000546fa,ref
0x52B8C,FUN_00052b8c,0x54A0C,FUN_00054a0c,ref
0x52B8C,FUN_00052b8c,0x59808,delay?,ref
0x52B8C,FUN_00052b8c,0x5A2F0,FUN_0005a2f0,ref
0x52B8C,FUN_00052b8c,0x5C4E8,FUN_0005c4e8,ref
0x52B8C,FUN_00052b8c,0x5C9AC,FUN_0005c9ac,ref
0x52C18,FUN_00052c18,0x54008,FUN_00054008,ref
0x52C18,FUN_00052c18,0x5415A,FUN_0005415a,ref
0x52C18,FUN_00052c18,0x54A0C,FUN_00054a0c,ref
0x52C18,FUN_00052c18,0x5A2F0,FUN_0005a2f0,ref
0x52C18,FUN_00052c18,0x5C4E8,FUN_0005c4e8,ref
0x52C18,FUN_00052c18,0x5C9AC,FUN_0005c9ac,ref
0x52C4E,FUN_00052c4e,0x54008,FUN_00054008,ref
0x52C4E,FUN_00052c4e,0x5415A,FUN_0005415a,ref
0x52C4E,FUN_00052c4e,0x54A0C,FUN_00054a0c,ref
0x52C4E,FUN_00052c4e,0x5A2F0,FUN_0005a2f0,ref
0x52C4E,FUN_00052c4e,0x5C4E8,FUN_0005c4e8,ref
0x52C4E,FUN_00052c4e,0x5C9AC,FUN_0005c9ac,ref
0x52C84,FUN_00052c84,0x54008,FUN_00054008,ref
0x52C84,FUN_00052c84,0x5415A,FUN_0005415a,ref
0x52C84,FUN_00052c84,0x54A0C,FUN_00054a0c,ref
0x52C84,FUN_00052c84,0x5A2F0,FUN_0005a2f0,ref
0x52C84,FUN_00052c84,0x5C4E8,FUN_0005c4e8,ref
0x52C84,FUN_00052c84,0x5C9AC,FUN_0005c9ac,ref
0x52CD4,FUN_00052cd4,0x3920,getSR,ref
0x52CD4,FUN_00052cd4,0x3934,setSR,ref
0x52CD4,FUN_00052cd4,0x52D92,FUN_00052d92,bsr
0x52CD4,FUN_00052cd4,0x52E7C,OBDHandlerMAYBE??,bsr
0x52D58,FUN_00052d58,0x3920,getSR,ref
0x52D58,FUN_00052d58,0x3934,setSR,ref
0x52DE4,FUN_00052de4,0x52D92,FUN_00052d92,bsr
0x52E14,FUN_00052e14,0x52A80,FUN_00052a80,ref
0x52E14,FUN_00052e14,0x52E7C,OBDHandlerMAYBE??,bsr
0x52EBE,caseD_0,0x529AE,updateRAM??,ref
0x52EBE,caseD_0,0x533CC,FUN_000533cc,bsr
0x52EBE,caseD_0,0x533F4,FUN_000533f4,bsr
0x52EBE,caseD_0,0x533FA,FUN_000533fa,bsr
0x52EBE,caseD_0,0x53400,FUN_00053400,bsr
0x52F28,caseD_1,0x529AE,updateRAM??,ref
0x52F28,caseD_1,0x529BC,FUN_000529bc,ref
0x52F28,caseD_1,0x534B2,getOLStatusforOBD???,bsr
0x52F28,caseD_1,0x5352C,OBDStub,bsr
0x52F28,caseD_1,0x53530,getEngineLoadforOBD???,bsr
0x52F28,caseD_1,0x53590,getCoolantTempforOBD??,bsr
0x52F28,caseD_1,0x535A6,getSTFTforOBD??,bsr
0x52F28,caseD_1,0x535CC,getLTFTforOBD???,bsr
0x52F28,caseD_1,0x535EA,getRPMforOBD??,bsr
0x52F28,caseD_1,0x53600,getVehicleSpeedForOBD??,bsr
0x52F28,caseD_1,0x53614,getIgnLeadingOBD,bsr
0x52F28,caseD_1,0x53678,getIATOBD,bsr
0x52F28,caseD_1,0x5368E,getMAFOBD??,bsr
0x52F28,caseD_1,0x536B6,getThrottlePlatePosForOBD??,bsr
0x52F28,caseD_1,0x536E2,getSecondaryAirPumpRequestForMode22,bsr
0x52F28,caseD_1,0x536F8,FUN_000536f8,bsr
0x52F28,caseD_1,0x536FE,convertRearO2VoltageForMode22,bsr
0x52F28,caseD_1,0x53724,getRearO2FuelTrimForOBD,bsr
0x52F28,caseD_1,0x53742,FUN_00053742,bsr
0x53124,FUN_00053124,0x529BC,FUN_000529bc,ref
0x53124,FUN_00053124,0x53748,FUN_00053748,bsr
0x53144,FUN_00053144,0x529BC,FUN_000529bc,ref
0x53144,FUN_00053144,0x53770,FUN_00053770,bsr
0x53164,FUN_00053164,0x529AE,updateRAM??,ref
0x53164,FUN_00053164,0x529BC,FUN_000529bc,ref
0x53164,FUN_00053164,0x537E8,getEvapPurgeMode22,bsr
0x53164,FUN_00053164,0x537FE,FUN_000537fe,bsr
0x53164,FUN_00053164,0x53804,FUN_00053804,bsr
0x53164,FUN_00053164,0x53826,getDistanceSinceMILClearedForMode22,bsr
0x53164,FUN_00053164,0x53844,getBaroForOBD,bsr
0x53164,FUN_00053164,0x53862,getBaroCompensatedLambda_fp,bsr
0x53164,FUN_00053164,0x53878,getFrontO2Voltage_fp,bsr
0x53164,FUN_00053164,0x53890,getCatTempOBD,bsr
0x53164,FUN_00053164,0x538A8,FUN_000538a8,bsr
0x53164,FUN_00053164,0x538F0,FUN_000538f0,bsr
0x53164,FUN_00053164,0x5395C,FUN_0005395c,bsr
0x53164,FUN_00053164,0x539C0,FUN_000539c0,bsr
0x532A2,FUN_000532a2,0x529AE,updateRAM??,ref
0x532A2,FUN_000532a2,0x529BC,FUN_000529bc,ref
0x532A2,FUN_000532a2,0x53A24,getECMVoltageOBD,bsr
0x532A2,FUN_000532a2,0x53A3A,getMode22EngineLoad,bsr
0x532A2,FUN_000532a2,0x53A62,getCommandedLamdaOBD??,bsr
0x532A2,FUN_000532a2,0x53A78,getMode22ThrottlePos,bsr
0x532A2,FUN_000532a2,0x53A9E,getMode22IAT,bsr
0x532A2,FUN_000532a2,0x53AB4,FUN_00053ab4,bsr
0x532A2,FUN_000532a2,0x53B28,FUN_00053b28,bsr
0x532A2,FUN_000532a2,0x53B54,FUN_00053b54,bsr
0x532A2,FUN_000532a2,0x53B80,FUN_00053b80,bsr
0x533CC,FUN_000533cc,0x3E0DC,readValue_8bit_ADDRESS_VAL,ref
0x533CC,FUN_000533cc,0x5E380,faultSomething0x2,ref
0x53400,FUN_00053400,0x3E0DC,readValue_8bit_ADDRESS_VAL,ref
0x5346A,FUN_0005346a,0x52A80,FUN_00052a80,ref
0x5346A,FUN_0005346a,0x603E4,FUN_000603e4,ref
0x53530,getEngineLoadforOBD???,0x2440,isNotZero_wDivideByZero_Protect,ref
0x53530,getEngineLoadforOBD???,0x24D0,floatToInt_SIGNAL_MULT_OFFSET,ref
0x53590,getCoolantTempforOBD??,0x24D0,floatToInt_SIGNAL_MULT_OFFSET,ref
0x535A6,getSTFTforOBD??,0x24D0,floatToInt_SIGNAL_MULT_OFFSET,ref
0x535CC,getLTFTforOBD???,0x24D0,floatToInt_SIGNAL_MULT_OFFSET,ref
0x535EA,getRPMforOBD??,0x2490,floatToFP_16bit_NUMBER_SCALAR_OFFSET,ref
0x53600,getVehicleSpeedForOBD??,0x24D0,floatToInt_SIGNAL_MULT_OFFSET,ref
0x53614,getIgnLeadingOBD,0x24D0,floatToInt_SIGNAL_MULT_OFFSET,ref
0x53678,getIATOBD,0x24D0,floatToInt_SIGNAL_MULT_OFFSET,ref
0x5368E,getMAFOBD??,0x2490,floatToFP_16bit_NUMBER_SCALAR_OFFSET,ref
0x536B6,getThrottlePlatePosForOBD??,0x24C0,fixedPointToFloat_16bit_MULT_OFF_SIG,ref
0x536B6,getThrottlePlatePosForOBD??,0x24D0,floatToInt_SIGNAL_MULT_OFFSET,ref
0x536FE,convertRearO2VoltageForMode22,0x24C0,fixedPointToFloat_16bit_MULT_OFF_SIG,ref
0x536FE,convertRearO2VoltageForMode22,0x24D0,floatToInt_SIGNAL_MULT_OFFSET,ref
0x53724,getRearO2FuelTrimForOBD,0x24D0,floatToInt_SIGNAL_MULT_OFFSET,ref
0x53748,FUN_00053748,0x409C,FUN_0000409c,ref
0x53770,FUN_00053770,0x2490,floatToFP_16bit_NUMBER_SCALAR_OFFSET,ref
0x53770,FUN_00053770,0x3E1AA,readValue_float_DEFAULTVAL_ADDRESS,ref
0x537E8,getEvapPurgeMode22,0x24D0,floatToInt_SIGNAL_MULT_OFFSET,ref
0x53804,FUN_00053804,0x60604,FUN_00060604,ref
0x53826,getDistanceSinceMILClearedForMode22,0x2490,floatToFP_16bit_NUMBER_SCALAR_OFFSET,ref
0x53826,getDistanceSinceMILClearedForMode22,0x3E1AA,readValue_float_DEFAULTVAL_ADDRESS,ref
0x53844,getBaroForOBD,0x24D0,floatToInt_SIGNAL_MULT_OFFSET,ref
0x53862,getBaroCompensatedLambda_fp,0x2490,floatToFP_16bit_NUMBER_SCALAR_OFFSET,ref
0x53878,getFrontO2Voltage_fp,0x2490,floatToFP_16bit_NUMBER_SCALAR_OFFSET,ref
0x53890,getCatTempOBD,0x2490,floatToFP_16bit_NUMBER_SCALAR_OFFSET,ref
0x538F0,FUN_000538f0,0x3E0DC,readValue_8bit_ADDRESS_VAL,ref
0x539C0,FUN_000539c0,0x3E0DC,readValue_8bit_ADDRESS_VAL,ref
0x53A24,getECMVoltageOBD,0x2490,floatToFP_16bit_NUMBER_SCALAR_OFFSET,ref
0x53A3A,getMode22EngineLoad,0x2490,floatToFP_16bit_NUMBER_SCALAR_OFFSET,ref
0x53A62,getCommandedLamdaOBD??,0x2490,floatToFP_16bit_NUMBER_SCALAR_OFFSET,ref
0x53A78,getMode22ThrottlePos,0x24D0,floatToInt_SIGNAL_MULT_OFFSET,ref
0x53A9E,getMode22IAT,0x24D0,floatToInt_SIGNAL_MULT_OFFSET,ref
0x53AB4,FUN_00053ab4,0x24C0,fixedPointToFloat_16bit_MULT_OFF_SIG,ref
0x53AB4,FUN_00053ab4,0x24D0,floatToInt_SIGNAL_MULT_OFFSET,ref
0x53B28,FUN_00053b28,0x24C0,fixedPointToFloat_16bit_MULT_OFF_SIG,ref
0x53B28,FUN_00053b28,0x24D0,floatToInt_SIGNAL_MULT_OFFSET,ref
0x53B54,FUN_00053b54,0x24C0,fixedPointToFloat_16bit_MULT_OFF_SIG,ref
0x53B54,FUN_00053b54,0x24D0,floatToInt_SIGNAL_MULT_OFFSET,ref
0x53B80,FUN_00053b80,0x24D0,floatToInt_SIGNAL_MULT_OFFSET,ref
0x53BC8,ClearFaults?,0x52A12,udsResponseRelated??,ref
0x53BC8,ClearFaults?,0x52A36,FUN_00052a36,ref
0x53BC8,ClearFaults?,0x52A5A,udsErrorResponse,ref
0x53BC8,ClearFaults?,0x53CAE,FUN_00053cae,bsr
0x53BC8,ClearFaults?,0x603F2,FUN_000603f2,ref
0x53BC8,ClearFaults?,0x66A74,udsServiceResponse,ref
0x53C5E,FUN_00053c5e,0x52A12,udsResponseRelated??,ref
0x53C5E,FUN_00053c5e,0x66A14,setupForUdsResponse?,ref
0x53CAE,FUN_00053cae,0x5E690,FUN_0005e690,ref
0x53CF8,FUN_00053cf8,0x53CAE,FUN_00053cae,bsr
0x53CF8,FUN_00053cf8,0x603F2,FUN_000603f2,ref
0x53D22,FUN_00053d22,0x53C5E,FUN_00053c5e,bsr
0x53D22,FUN_00053d22,0x64A62,FUN_00064a62,ref
0x53D98,OBDModeFunc_Unsure,0x38610,getFromE2_E2ADDR_RAMADDR_LEN,ref
0x53D98,OBDModeFunc_Unsure,0x529AE,updateRAM??,ref
0x53E34,getCalID,0x38610,getFromE2_E2ADDR_RAMADDR_LEN,ref
0x53E34,getCalID,0x529AE,updateRAM??,ref
0x53EF6,FUN_00053ef6,0x3E15C,readValue_32bit_ADDRESS_VAL,ref
0x53EF6,FUN_00053ef6,0x529AE,updateRAM??,ref
0x53EF6,FUN_00053ef6,0x529D8,FUN_000529d8,ref
0x53EF6,FUN_00053ef6,0x58D5E,FUN_00058d5e,ref
0x53FCC,runSubfunction??,0x54000,FUN_00054000,bsr
0x53FCC,runSubfunction??,0x5463C,getSubFunctionMapping,bsr
0x53FCC,runSubfunction??,0x5A740,FUN_0005a740,ref
0x54008,FUN_00054008,0x3920,getSR,ref
0x54008,FUN_00054008,0x3934,setSR,ref
0x5405E,calculateDiagModeTimer,0x3920,getSR,ref
0x5405E,calculateDiagModeTimer,0x3934,setSR,ref
0x540C8,FUN_000540c8,0x3920,getSR,ref
0x540C8,FUN_000540c8,0x3934,setSR,ref
0x540C8,FUN_000540c8,0x53FCC,runSubfunction??,bsr
0x540C8,FUN_000540c8,0x5415A,FUN_0005415a,bsr
0x540C8,FUN_000540c8,0x54646,FUN_00054646,bsr
0x54208,FUN_00054208,0x42B0,FUN_000042b0,ref
0x5427A,FUN_0005427a,0x3920,getSR,ref
0x5427A,FUN_0005427a,0x3934,setSR,ref
0x5427A,FUN_0005427a,0x5415A,FUN_0005415a,bsr
0x545BA,checkDeviceControlConditional,0x5415A,FUN_0005415a,bsr
0x545BA,checkDeviceControlConditional,0x541F0,securityNotUnlocked,bsr
0x5466C,FUN_0005466c,0x52A5A,udsErrorResponse,ref
0x5466C,FUN_0005466c,0x5415A,FUN_0005415a,ref
0x5466C,FUN_0005466c,0x541F0,securityNotUnlocked,ref
0x5466C,FUN_0005466c,0x546FA,FUN_000546fa,bsr
0x5466C,FUN_0005466c,0x54744,FUN_00054744,bsr
0x5466C,FUN_0005466c,0x547C8,FUN_000547c8,bsr
0x5466C,FUN_0005466c,0x66A74,udsServiceResponse,ref
