addr,end,name,source,flag
0x005934,0x00596C,FUN_005934,derived,
0x00596C,0x00597A,FUN_00596c,derived,
0x00597A,0x005988,FUN_00597a,derived,
0x005988,0x005996,FUN_005988,derived,
0x005996,0x0059A4,FUN_005996,derived,
0x0059A4,0x0059B2,FUN_0059a4,derived,
0x0059B2,0x0059C0,FUN_0059b2,derived,
0x0059C0,0x0059CE,FUN_0059c0,derived,
0x0059CE,0x0059DC,FUN_0059ce,derived,
0x0059DC,0x0059EA,FUN_0059dc,derived,
0x0059EA,0x0059F8,FUN_0059ea,derived,
0x0059F8,0x005A06,FUN_0059f8,derived,
0x005A06,0x005A14,FUN_005a06,derived,
0x005A14,0x005A22,FUN_005a14,derived,
0x005A22,0x005A30,FUN_005a22,derived,
0x005A30,0x005A3E,FUN_005a30,derived,
0x005A3E,0x005A4C,FUN_005a3e,derived,
0x005A4C,0x005A58,FUN_005a4c,derived,
0x005A58,0x005AC0,FUN_005a58,derived,
0x005AC0,0x005ACE,FUN_005ac0,derived,
0x005ACE,0x005ADC,FUN_005ace,derived,
0x005ADC,0x005AEA,FUN_005adc,derived,
0x005AEA,0x005AF8,FUN_005aea,derived,
0x005AF8,0x005B06,FUN_005af8,derived,
0x005B06,0x005B14,FUN_005b06,derived,
0x005B14,0x005B20,FUN_005b14,derived,
0x005B20,0x005B2E,FUN_005b20,derived,
0x005B2E,0x005B3C,FUN_005b2e,derived,
0x005B3C,0x005B56,FUN_005b3c,derived,
0x005B56,0x005BD8,FUN_005b56,derived,
0x005BD8,0x005CC4,FUN_005bd8,derived,
0x005CC4,0x005CD2,FUN_005cc4,derived,
0x005CD2,0x005CE2,FUN_005cd2,derived,
0x005CE2,0x005CEE,FUN_005ce2,derived,
0x005CEE,0x005CFE,FUN_005cee,derived,
0x005CFE,0x005D0A,FUN_005cfe,derived,
0x005D0A,0x005D16,FUN_005d0a,derived,
0x005D16,0x005D26,FUN_005d16,derived,
0x005D26,0x005D36,FUN_005d26,derived,
0x005D36,0x005D70,FUN_005d36,derived,
0x005D70,0x005D80,FUN_005d70,derived,
0x005D80,0x005D86,FUN_005d80,derived,
0x005D86,0x005D90,FUN_005d86,derived,
0x005D90,0x005DA0,FUN_005d90,derived,
0x005DA0,0x005DA6,FUN_005da0,derived,
0x005DA6,0x005DB6,FUN_005da6,derived,
0x005DB6,0x005DC6,FUN_005db6,derived,
0x005DC6,0x005DD6,FUN_005dc6,derived,
0x005DD6,0x005DDC,FUN_005dd6,derived,
0x005DDC,0x005DEC,FUN_005ddc,derived,
0x005DEC,0x005DFC,FUN_005dec,derived,
0x005DFC,0x005E0C,FUN_005dfc,derived,
0x005E0C,0x005E12,FUN_005e0c,derived,
0x005E12,0x005E22,FUN_005e12,derived,
0x005E22,0x005E32,FUN_005e22,derived,
0x005E32,0x005E42,FUN_005e32,derived,
0x005E42,0x005E48,FUN_005e42,derived,
0x005E48,0x005E58,FUN_005e48,derived,
0x005E58,0x005E68,FUN_005e58,derived,
0x005E68,0x005E78,FUN_005e68,derived,
0x005E78,0x005EBC,FUN_005e78,derived,
0x005EBC,0x005EC8,FUN_005ebc,derived,
0x005EC8,0x005ECE,FUN_005ec8,derived,
0x005ECE,0x005EDE,FUN_005ece,derived,
0x005EDE,0x005EEE,FUN_005ede,derived,
0x005EEE,0x005EF4,FUN_005eee,derived,
0x005EF4,0x005F18,FUN_005ef4,derived,
0x005F18,0x005F1C,FUN_005f18,derived,
0x005F1C,0x005F36,FUN_005f1c,derived,
0x005F36,0x006010,FUN_005f36,derived,
0x006010,0x0061DA,FUN_006010,derived,
0x0061DA,0x006360,FUN_0061da,derived,
0x006360,0x006366,FUN_006360,derived,
0x006366,0x00636C,FUN_006366,derived,
0x00636C,0x006372,FUN_00636c,derived,
0x006372,0x0066FE,FUN_006372,derived,
0x0066FE,0x006744,FUN_0066fe,derived,
0x006744,0x006796,getVehicleStatusInputs?,ghidra-hand-xmap,
0x006796,0x0067D2,FUN_006796,derived,
0x0067D2,0x006842,FUN_0067d2,derived,
0x006842,0x006846,FUN_006842,derived,
0x006846,0x006884,FUN_006846,derived,
0x006884,0x0068F6,FUN_006884,derived,
0x0068F6,0x006992,FUN_0068f6,derived,
0x006992,0x0069E2,FUN_006992,derived,
0x0069E2,0x006A28,FUN_0069e2,derived,
0x006A28,0x006A4C,FUN_006a28,derived,
